Account,Asset,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-10-16
Orca,Liquid Assets,,,,,,,,,,Opened,7.1299999999999999,6.4000000000000004,4.5899999999999999,4.7800000000000002,5.2199999999999998,5.4400000000000004,5.8899999999999997,Closed,,
Vanguard ISA,Liquid Assets,,Opened,0,19792.950000000001,26096.450000000001,27021.669999999998,68908.449999999997,67392.050000000003,73579.270000000004,75332.600000000006,76316.270000000004,75350.619999999995,78362.839999999997,81459.770000000004,80715.009999999995,Closed,,,,
Virgin Money S&S ISA,Liquid Assets,17566.32,36426.43,38857.470000000001,40005.449999999997,41150.230000000003,41150.230000000003,Closed,,,,,,,,,,,,,
AJ Bell Lifetime ISA,Non-Liquid Assets,,,Opened,4001.27,5124.6899999999996,5430.4200000000001,5317.7799999999997,5127.21,5544.29,5747.6800000000003,5871.0500000000002,5801.6000000000004,5923.3299999999999,10374.5,11062.129999999999,11976.389999999999,12232.450000000001,12919.139999999999,12523.42,12569.98
BrewDog Shares,Non-Liquid Assets,,,,,,,,,,Opened,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999,100.59999999999999
Seedrs,Non-Accessible Assets,,,,,,,,,,Opened,139.94,139.94,139.94,139.94,139.94,168.75,168.03,168.27000000000001,168.33000000000001,168.33000000000001
Skipton Lifetime ISA,Non-Liquid Assets,1.27,1.27,1.27,Closed,,,,,,,,,,,,,,,,
SS7 & Scottish Widows,Pension,,,,Opened,0,0,241.44,235.41999999999999,259.83999999999997,265,265.69,268.32999999999998,276.83999999999997,287.22000000000003,287.51999999999998,295.36000000000001,295.76999999999998,304.13999999999999,299.64999999999998,299.31999999999999
Vanguard SIPP,Pension,,Opened,605.78999999999996,914.82000000000005,1206.3699999999999,1546.9400000000001,1548.1300000000001,1515.3199999999999,1654.4400000000001,1713.8699999999999,1741.2,1719.23,1787.76,1858.27,1841.28,1912.8800000000001,1909.78,1976.0799999999999,1936.28,1956.1800000000001
Motorbike,Material Assets,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
